LAKE_ID DEPTH_M ELEV_M LONG_DD LAT_DD Fch_Jan Fch_Feb Fch_Mar Fch_Apr Fch_May Fch_Jun Fch_Jul Fch_Aug Fch_Sep Fch_Oct Fch_Nov Fch_Dec Area2000_02_km2 sto_cap_km3 area_cap_km2 elev_cap_m a b tile1 tile2
93 32.4 138 42.352 34.21 12713 11321 9190 8652 9125 12284 14825 15523 12006 8652 10002 12843 383.357 8.2 418.4 144.4272171 0.071249504 114.6164246 h21v05 hxxvxx
94 9.4 311 78.342 18.967 13143 11296 9471 10841 11744 12864 12423 13052 13111 11195 12315 13200 210.979 2.3 314.378 332.54 0.040048061 319.9497549 h25v07 hxxvxx
95 51 460 -49.096 -18.408 5417 7340 7434 7336 6423 7294 7054 6825 6441 6937 6811 6933 458.384 17 559.598 520.3766629 0.088175776 471.0336762 h13v10 hxxvxx
96 15 263 -56.78 48.166 9777 9170 9190 9703 10272 10983 11133 12199 13689 10966 10408 9279 313.147 2.16 314.904 270.6494798 0.004098229 269.3589301 h14v04 hxxvxx
97 19.3 1246 25.507 -30.622 11703 9971 7298 6784 6840 6756 6775 6926 7845 8061 10361 11827 290.526 5.34 374 1261.934149 0.069067551 1236.102885 h20v12 hxxvxx
98 28.4 181 -93.599 17.177 4440 4442 4495 4571 5024 5689 5228 4617 4401 11806 4367 4449 284.802 9.168 309.454 182 0.300322963 89.06385622 h09v07 hxxvxx
99 32.4 159 -101.892 18.272 5864 4010 4034 4034 4009 4389 5015 4614 5062 4562 4770 5472 287.148 12 400 173.1254517 0.141175033 116.6554385 h08v07 hxxvxx
100 11.1 1464 28.115 -26.883 6331 6285 6359 7677 9948 10477 10795 8681 7973 6961 7008 6748 303.749 2.61 320 1484.272861 0.035798268 1472.817415 h20v11 hxxvxx
101 97.1 2571 100.917 36.121 7624 7866 7306 6742 6014 6125 5903 5903 5903 13746 8144 7634 294.32 24.7 383 2589.147772 0.183208106 2518.979067 h26v05 hxxvxx
102 8.4 67 29.482 62.825 9376 10336 10842 11662 7448 7042 7479 7586 8117 8752 11044 9047 272.586 2.39 293 88.04580903 0.006397919 86.17121876 h19v02 hxxvxx
103 10.8 237 -75.983 46.719 5467 5738 6564 7643 5467 5975 6410 6293 7150 7150 6525 5739 206.776 2.63 280 223.1403386 0.05662529 207.2852574 h12v04 hxxvxx
104 10 53 107.036 11.106 10740 10981 12081 12179 9842 10920 10909 10953 11154 8503 9756 9778 272.64 2.76 323 62.78862594 0.07215665 39.48202799 h28v07 hxxvxx
105 18.7 408 -71.255 49.904 4567 5072 6778 16877 6136 4385 4549 4600 4951 4927 4716 4402 261.294 5.18 270.716 440.2633472 0.106107089 411.5385046 h13v04 h13v03
106 10.6 460 75.368 19.485 10045 9258 11695 11649 11068 8933 8433 9055 10003 7796 9473 10293 261.934 2.171 382.388 463.91 0.032006226 451.6712121 h25v07 hxxvxx
107 25.8 335 6.836 9.971 6380 6335 8546 10046 9305 9378 8904 8003 7694 7531 6578 6362 216.819 7 312 377.7333404 0.086015118 350.8966236 h18v08 h18v07
108 11.3 26 39.116 44.985 9407 9256 9436 9749 14973 9256 9587 9988 12678 14085 9338 9289 273.483 3.048 286.284 33.67836691 0.061612407 16.03972084 h20v04 hxxvxx
